-------------------------------------------------------------------------------------------------------------------------------------------------
      frequency   iteration   mesh size   DOF count     setup,s     solve,s  mesh err,s    refine,s     total,s relative S error   H error metric
-------------------------------------------------------------------------------------------------------------------------------------------------
          9e+09           1          30         278       1.898     0.08967     0.01913   0.0002033       2.007                          8.69e-05
                          2          67         560        1.74     0.06793     0.02155     0.00039        1.83           0.4455        8.181e-05
                          3         117         914       1.744     0.09378      0.0451   0.0003751       1.884           0.6247        3.667e-05
                          4         173        1326       1.775      0.1272     0.04714   0.0003826       1.949           0.2351         3.04e-05
                          5         204        1562       1.812      0.1472     0.05525   0.0003568       2.015           0.0985        2.884e-05
                          6         224        1714       1.789      0.1742     0.06517   0.0003728       2.029           0.1025        1.663e-05
                          7         245        1872       1.829      0.1893     0.06791   0.0004024       2.087          0.08204        1.542e-05
                          8         308        2304       1.796      0.2427     0.07744   0.0004242       2.117          0.07138        1.178e-05
                          9         348        2570       1.835      0.2403     0.09045   0.0003965       2.166          0.03913        9.834e-06
                         10         377        2770       1.867      0.2477     0.09745   0.0004265       2.213          0.03606          9.3e-06
                         11         441        3228       1.862      0.3014      0.1049   0.0004179       2.269          0.03896        6.701e-06
                         12         479        3512       1.842      0.3714      0.1042   0.0005713       2.319           0.0363        5.527e-06
                         13         682        4904       1.856      0.5714       0.201   0.0005576       2.629          0.03427        5.852e-06
                         14         840        5972       1.879      0.7225      0.1714   0.0005602       2.774           0.0116        5.866e-06
                         15        1060        7464       1.889      0.9496      0.2097   0.0005497       3.049          0.01348        4.321e-06
                         16        1240        8768       1.946      0.8759      0.2109   0.0005602       3.034          0.02949        3.601e-06
                         17        1421       10102       1.945       1.208      0.2245   0.0006903       3.378          0.01226        3.454e-06
                         18        1660       11730       1.963       1.506      0.2891   0.0007244       3.759         0.005923        1.628e-06
                         19        1943       13562       2.003       1.877      0.3555   0.0007425       4.237          0.01035        1.305e-06
                         20        2304       15954        1.98       2.011      0.3904   0.0008418       4.383         0.009444        1.162e-06
                         21        2631       18104       2.018       2.357      0.4552    0.001067       4.831         0.002929        9.503e-07
                         22        3383       23130        2.03       3.108      0.6258    0.001183       5.765         0.009325         1.05e-06
                         23        4208       28550       2.099       4.049      0.4083    0.001391       6.557         0.003754        1.019e-06
                         24        5062       34314       2.222       4.931      0.8329    0.001789       7.987         0.004488         5.72e-07
                         25        6398       43320       2.209       5.934       1.093    0.001964       9.238         0.002095        5.468e-07
                         26        7697       52098       2.249       6.968        1.24    0.002454       10.46         0.001715        5.211e-07
                         27        9854       66112       2.266       9.513       1.614    0.002987       13.39         0.003672        5.141e-07
                         28       11607       77674       2.307       11.78       2.086    0.003045       16.18         0.002112        3.335e-07
                         29       13153       88396       2.364       13.94        2.24    0.003803       18.55        0.0006691        1.734e-07
                         30       15425      103146       2.432       18.45       2.805    0.004151       23.69         0.001599          1.3e-07
                         31       18792      125044       2.623       23.12       3.297    0.005705       29.04         0.001759        1.663e-07
                         32       22604      149838       2.813       31.77       4.581    0.007117       39.17        0.0007253        1.573e-07
                         33       27708      182730       2.929       42.67       5.746     0.00927       51.36        0.0003935        1.225e-07
                         34       34328      225520        3.18       60.82       7.789     0.01194        71.8        0.0002154        7.984e-08
                         35       46190      303144       3.229       85.93       10.49     0.01468       99.66        0.0001501        6.903e-08
                         36       59659      388886       3.243       118.1       13.07     0.01748       134.4        0.0001476        6.632e-08
                         37       69891      456320       3.341       144.2       9.154     0.02238       156.8        0.0003364        6.335e-08
                         38       85844      559266       3.543       213.1       21.12      0.0257       237.8        0.0003467        6.084e-08
                         39      100491      656168       3.842       315.4       24.98     0.03092       344.3        0.0003094        3.528e-08
                         40      114959      750748       4.209       412.7       29.91     0.03096       446.9         0.000191        1.776e-08
                         41      131198      855712        5.14       552.1       31.78     0.03961       589.1        0.0002046        1.283e-08
                         42      159728     1039060       5.953         782       40.92     0.05177       828.9        9.366e-05         1.23e-08
                         43      196313     1273456       6.892        1197       54.89      0.0695        1259        0.0001474        1.621e-08
                         44      233421     1511952       8.338        1578       71.66     0.09864        1658         5.49e-05        9.993e-09
                         45      289204     1868696       9.159        2462       96.64      0.1297        2568        2.016e-05        8.877e-09
                         46      380022     2445926       8.869        3874         136      0.1491        4019        1.197e-05        8.775e-09
                         47      459239     2953960       9.184        4786       162.4      0.1806        4957        6.795e-06        8.833e-09
                         48      550943     3546990       10.17        7032       202.4      0.2098        7245        2.772e-05        8.451e-09
                         49      637121     4102900       10.83        9395       243.6      0.2647        9650        2.521e-05        7.665e-09
                         50      745343     4790804       11.72   1.465e+04       303.3      0.2943   1.496e+04        2.291e-05        5.416e-09
